departamento,municipio,cod_ine,confirmados,recuperados,decesos
Chuquisaca,Sucre,10101,6086,4198,455
Chuquisaca,Yotala,10102,93,77,1
Chuquisaca,Poroma,10103,15,15,0
Chuquisaca,Azurduy,10201,31,29,0
Chuquisaca,Tarvita,10202,34,7,0
Chuquisaca,Zudañez,10301,30,22,0
Chuquisaca,Presto,10302,76,40,1
Chuquisaca,Mojocoya,10303,31,12,2
Chuquisaca,Villa Ricardo Mugia - Icla,10304,17,13,0
Chuquisaca,Padilla,10401,16,16,0
Chuquisaca,Tomina,10402,20,18,0
Chuquisaca,Sopachui,10403,27,9,0
Chuquisaca,Alcalá,10404,10,10,0
Chuquisaca,El Villar,10405,3,2,0
Chuquisaca,Monteagudo,10501,119,76,1
Chuquisaca,Huacareta,10502,1,0,0
Chuquisaca,Tarabuco,10601,46,29,3
Chuquisaca,Yamparáez,10602,69,44,2
Chuquisaca,Camargo,10701,115,73,6
Chuquisaca,San Lucas,10702,89,69,9
Chuquisaca,Incahuasi,10703,43,33,0
Chuquisaca,Villa Charcas,10704,59,40,2
Chuquisaca,Villa Serrano,10801,14,10,0
Chuquisaca,Villa Abecia,10901,8,3,0
Chuquisaca,Culpina,10902,72,36,5
Chuquisaca,Las Carreras,10903,12,12,0
Chuquisaca,Villa Vaca Guzmán,11001,47,39,0
Chuquisaca,Macharetí,11003,4,4,0
La Paz,Nuestra Señora de La Paz,20101,23282,17617,663
La Paz,Palca,20102,8,0,0
La Paz,Mecapaca,20103,26,19,2
La Paz,Achocalla,20104,58,37,4
La Paz,El Alto,20105,9441,7089,292
La Paz,Achacachi,20201,37,21,5
La Paz,Villa Ancoraimes,20202,3,2,0
La Paz,Huarina,20203,2,1,0
La Paz,Huatajata,20205,2,1,0
La Paz,Chua Cocani,20206,2,2,0
La Paz,Corocoro,20301,22,17,1
La Paz,Caquiaviri,20302,1,1,0
La Paz,Calacoto,20303,4,2,0
La Paz,Comanche,20304,8,2,0
La Paz,Charaña,20305,15,9,0
La Paz,Waldo Ballivian,20306,3,2,0
La Paz,Nazacara de Pacajes,20307,2,0,0
La Paz,Puerto Acosta,20401,3,0,0
La Paz,Mocomoco,20402,2,2,0
La Paz,Puerto Mayor de Carabuco,20403,1,1,0
La Paz,Escoma,20405,4,3,1
La Paz,Chuma,20501,2,2,0
La Paz,Ayata,20502,2,2,0
La Paz,Sorata,20601,15,9,0
La Paz,Guanay,20602,41,10,1
La Paz,Tacacoma,20603,1,1,0
La Paz,Tipuani,20606,2,1,0
La Paz,Mapiri,20607,2,1,1
La Paz,Teoponte,20608,8,7,0
La Paz,Apolo,20701,2,2,0
La Paz,Pelechuco,20702,2,0,0
La Paz,Viacha,20801,646,496,10
La Paz,Puerto Mayor de Guaqui,20802,3,1,0
La Paz,Tiahuanacu,20803,22,7,0
La Paz,Desaguadero,20804,4,3,0
La Paz,Jesús de Machaka,20806,14,5,0
La Paz,Luribay,20901,1,1,0
La Paz,Sapahaqui,20902,8,5,0
La Paz,Yaco,20903,4,2,0
La Paz,Malla,20904,6,6,0
La Paz,Cairoma,20905,16,16,0
La Paz,Inquisivi,21001,12,8,0
La Paz,Quime,21002,13,10,1
La Paz,Cajuata,21003,2,1,1
La Paz,Colquiri,21004,68,59,7
La Paz,Ichoca,21005,1,1,0
La Paz,Villa Libertad Licoma,21006,1,1,0
La Paz,Chulumani,21101,34,17,4
La Paz,Irupana,21102,49,31,2
La Paz,Yanacachi,21103,14,9,0
La Paz,Palos Blancos,21104,33,29,3
La Paz,La Asunta,21105,12,9,1
La Paz,Pucarani,21201,23,18,1
La Paz,Laja,21202,42,33,5
La Paz,Batallas,21203,54,45,2
La Paz,Puerto Pérez,21204,2,0,0
La Paz,Sicasica,21301,12,8,3
La Paz,Umala,21302,14,10,3
La Paz,Calamarca,21304,9,6,0
La Paz,Patacamaya,21305,67,57,7
La Paz,Colquencha,21306,5,5,0
La Paz,Collana,21307,1,1,0
La Paz,Coroico,21401,26,24,2
La Paz,Coripata,21402,38,26,5
La Paz,Ixiamas,21501,1,0,0
La Paz,San Buenaventura,21502,30,12,1
La Paz,Charazani,21601,4,1,0
La Paz,Copacabana,21701,35,33,0
La Paz,San Pedro de Tiquina,21702,6,6,0
La Paz,Tito Yupanqui,21703,1,0,0
La Paz,Papel Pampa,21802,1,1,0
La Paz,Chacarilla,21803,5,1,0
La Paz,Santiago de Machaca,21901,4,3,0
La Paz,Catacora,21902,2,0,0
La Paz,Caranavi,22001,66,60,4
La Paz,Alto Beni,22002,5,2,1
Cochabamba,Cochabamba,30101,8106,7288,663
Cochabamba,Aiquile,30201,44,30,6
Cochabamba,Pasorapa,30202,2,0,0
Cochabamba,Omereque,30203,18,13,1
Cochabamba,Ayopaya,30301,37,18,2
Cochabamba,Morochata,30302,1,0,1
Cochabamba,Cocapata,30303,2,1,1
Cochabamba,Tarata,30401,44,30,10
Cochabamba,Anzaldo,30402,19,16,0
Cochabamba,Arbieto,30403,17,11,6
Cochabamba,Sacabamba,30404,1,0,0
Cochabamba,Arani,30501,30,15,6
Cochabamba,Vacas,30502,16,9,1
Cochabamba,Arque,30601,4,1,2
Cochabamba,Tacopaya,30602,5,3,0
Cochabamba,Capinota,30701,103,45,7
Cochabamba,Santivañez,30702,32,26,1
Cochabamba,Sicaya,30703,8,5,0
Cochabamba,Cliza,30801,34,28,5
Cochabamba,Toco,30802,7,2,3
Cochabamba,Tolata,30803,43,12,4
Cochabamba,Quillacollo,30901,1263,841,87
Cochabamba,Sipesipe,30902,241,146,15
Cochabamba,Tiquipaya,30903,252,164,23
Cochabamba,Vinto,30904,260,216,30
Cochabamba,Colcapirhua,30905,196,98,27
Cochabamba,Sacaba,31001,876,525,77
Cochabamba,Colomi,31002,39,19,3
Cochabamba,Villa Tunari,31003,165,136,17
Cochabamba,Tapacarí,31101,17,10,3
Cochabamba,Totora,31201,49,38,1
Cochabamba,Pojo,31202,17,5,0
Cochabamba,Pocona,31203,17,15,1
Cochabamba,Chimoré,31204,161,148,12
Cochabamba,Puerto Villarroel,31205,473,378,33
Cochabamba,Entre Ríos,31206,430,348,42
Cochabamba,Mizque,31301,91,70,3
Cochabamba,Vila Vila,31302,2,2,0
Cochabamba,Punata,31401,132,100,27
Cochabamba,Villa Rivero,31402,9,5,0
Cochabamba,San Benito,31403,101,74,7
Cochabamba,Tacachi,31404,1,0,1
Cochabamba,Bolivar,31501,6,6,0
Cochabamba,Tiraque,31601,14,8,4
Cochabamba,Shinahota,31602,262,177,13
Oruro,Oruro,40101,4685,2223,239
Oruro,Caracollo,40102,31,7,10
Oruro,Paria,40104,2,0,1
Oruro,Challapata,40201,222,39,3
Oruro,Santuario de Quillacas,40202,26,10,0
Oruro,Corque,40301,1,0,0
Oruro,Curahuara de Carangas,40401,9,1,0
Oruro,Turco,40402,3,2,0
Oruro,Huachacalla,40501,34,26,5
Oruro,Escara,40502,5,3,0
Oruro,Yunguyo del Litoral,40504,1,1,0
Oruro,Esmeralda,40505,7,7,0
Oruro,Poopó,40601,28,17,1
Oruro,Pazña,40602,4,4,0
Oruro,Antequera,40603,8,7,0
Oruro,Huanuni,40701,516,370,25
Oruro,Machacamarca,40702,38,27,1
Oruro,Salinas de Garcí Mendoza,40801,13,3,1
Oruro,Pampa Aullagas,40802,3,1,0
Oruro,Sabaya,40901,36,25,2
Oruro,Coipasa,40902,1,1,0
Oruro,Toledo,41001,13,6,2
Oruro,Eucaliptus,41101,43,34,4
Oruro,Andamarca,41201,5,0,0
Oruro,Totora,41301,5,0,0
Oruro,Santiago de Huari,41401,24,7,2
Oruro,La Rivera,41501,3,2,0
Oruro,Huayllamarca,41601,6,1,2
Potosí,Potosí,50101,4150,1259,136
Potosí,Tinguipaya,50102,20,7,0
Potosí,Yocalla,50103,2,0,1
Potosí,Urmiri,50104,5,3,0
Potosí,Uncía,50201,382,76,0
Potosí,Chayanta,50202,46,27,2
Potosí,Llallagua,50203,943,336,17
Potosí,Chuquihuta Ayllu Jucumani,50204,20,8,4
Potosí,Betanzos,50301,292,146,5
Potosí,Chaquí,50302,11,0,0
Potosí,Tacobamba,50303,31,5,0
Potosí,Colquechaca,50401,34,7,1
Potosí,Ravelo,50402,33,20,1
