municipio,confirmados
La Guardia,26
Warnes,13
Cairoma,12
Genreal Saavedra,5
Potosi,20
Tarija,3
Vallegrande,8
Robore,5
Cliza,1
Cotoca,7
San Carlos,1
Copacabana,1
Concepcion,1
Uyuni,1
Eucaliptus,3
San Pedro,1
El Alto,44
Punata,8
Capinota,0
Cobija,12
Porongo (Ayacucho),1
Laja,1
Santa Rosa,16
Cochabamba,27
Mineros,1
San Julián,1
El Torno,1
Trinidad,33
Malla,1
Huanuni,13
Chulumani,1
Santuario de Quillacas,3
Omereque,5
Colcapirhua,1
Chimore,1
Sacaba,2
Patacamaya,20
Santibañez,12
Oruro,46
Quillacollo,13
Sucre,2
Santa Cruz de la Sierra,258
Montero,101
La Paz,75
